taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	intertidal	temperature	water_column_position	depth_comments	general_comments
614418	Serranus atricauda	Blacktail comber	6	60	289	5359	14418	28.22222218	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	90				"{27,34,37}"	3	38.28599282	f		demersal		FB or SLB Comments: Found over hard bottom. Carnivorous (Ref. 2739).
601226	Calamus nodosus	Knobbed porgy	6	60	330	2964	1226	29.393025	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	90	7	37	18	"{21,31}"	2	46.76673372			reef-associated		FB or SLB Comments: Found over hard bottoms. Sometimes taken in trawls and hook and line; good food fish (Ref. 26938).
603662	Halichoeres cyanocephalus	Yellowcheek wrasse	6	60	362	1901	3662	53.6622284	0.6	0.5	0.75	0	0	0	0.5	0	0.5	0	0.5	0	91	18	30	-33	"{31,41}"	2	27.14539071	f		reef-associated		"FB or SLB Comments: Found over hard substrates (Ref. 9626). Juveniles up to 8 cm act as specialized cleaners. Each individual tends a defined cleaning station sought by several species of reef fishes including damselfishes, goatfishes, and surgeonfishes. At the cleaning station this wrasse swims in a characteristic seesaw motion (Ref. 31373). Occasionally caught by anglers. Generally of no interest to fisheries because of its small average size (Ref. 5217). Found at 9 m in Belize (Ref. 26938)."
601095	Upeneus parvus	Dwarf goatfish	6	60	332	1675	1095	30.38621765	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	100	18	37	-20	"{21,31,41}"	3	25.03525799	f		demersal		FB or SLB Comments: Found over mud and sand bottoms (Ref. 3792). Juveniles up to 8 cm are pelagic (Ref. 9626). Feeds mainly on benthic invertebrates (Ref. 3792). Flesh considered good quality; marketed fresh and frozen (Ref. 3792). In southwestern Brazil found in 112 m depth (Ref. 47377).
600982	Paralichthys tropicus	Tropical flounder	6	61	514	665	982	63.88888876	0.6	0.5	0.75	0	0	0	0.5	0	0.5	0	0.5	0.5	185	0			"{31,41}"	2	44.5			reef-associated		FB or SLB Comments: Found over muddy and sandy bottoms. Marketed fresh.
604449	Photopectoralis bindus	Orangefin ponyfish	6	60	318	10831	4449	49.99999985	0.6	0.5	0.5	0	0	0	0.5	0	0.5	0	0.5	0.5	160	2			"{51,57,61,71}"	4	8.635	f		demersal		FB or SLB Comments: Found over muddy sand bottoms of coastal inshore waters (Ref. 47581). Often enters estuaries (Ref. 4833). Forms schools. Used in Chinese medicine (Ref. 12166).
603604	Chaetodon ocellatus	Spotfin butterflyfish	6	60	343	364	3604	49.99999985	0.6	0.5	1	0	0	0	0.5	0	0.75	0	0.5	0.5	30	0	37	8	"{21,31,41}"	3	17.05131594	f		reef-associated		"FB or SLB Comments: Inhabit shallow, coral reefs with clear water (Ref. 9626). Develop dusky bands at night. Generally common (Ref. 9710). Oviparous (Ref. 205). Form pairs during breeding (Ref. 205)."
600019	Balistes vetula	Queen triggerfish	6	62	445	4755	19	83.39999975	0.8	0.5	0.75	0	0.25	0	0.5	0.5	0.5	0	0.5	0.5	275	2	43	-35	"{21,27,31,34,41,47,51,57}"	8	41.7	f		reef-associated		"FB or SLB Comments: Found over rocky or coral areas (Ref. 5217). May form schools, sometimes solitary over sand and grassy areas. Feeds mainly on benthic invertebrates (Ref. 4727). It preys on sea urchins by blowing water to overturn it and then attacks it where the spines are short (Ref. 9710). Excellent food fish but occasionally can cause intoxication due to the liver."
604931	Balistes punctatus	Bluespotted triggerfish	6	62	445	4755	4931	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	200	0			"{34,47}"	2	50.94546288	t		demersal		FB or SLB Comments: Found over sand and rock bottoms of coastal waters. Feeds on crabs and bivalves (Ref. 4727).
614419	Serranus hepatus	Brown comber	6	60	289	5359	14419	49.99999985	0.6	0.5	0	0	0.5	0	0.5	0	0.5	0	0.5	0.5	100	5	45	12	"{27,34,37}"	3	21.938775	f		demersal		"FB or SLB Comments: Found over seagrass, sand, mud and rocks (Ref. 2739). Carnivorous, decapods dominate the diet. Adapts well in an aquarium (Ref. 12382). A synchronous hermaphrodite (Ref. 56921)."
601154	Scarus iseri	Striped parrotfish	6	60	364	4784	1154	59.8351966	0.8	0.5	0.75	0	0.5	0	0.5	0	0.5	0	0.5	0.5	25	3			"{31,41}"	2	29.91759839	f		reef-associated		"FB or SLB Comments: Found over shallow, clear waters, generally over <i>Thalassia</i> beds (Ref. 13628). Also found rocky or coral areas (Ref. 13628). A schooling species. Feeds on plants. A protogynous hermaphrodite (Ref. 55367). Super males spawn individually with striped females, while sexually mature males in the striped phase spawn in aggregation."
601717	Gymnammodytes cicerelus	Mediterranean sand eel	6	60	402	10053	1717	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5			50	10	"{27,34,37}"	3	15.65031669	f		demersal		FB or SLB Comments: Found over shell-gravel and coarse sand bottoms (Ref. 6450).
603586	Pareques umbrosus	Cubbyu	6	60	331	5505	3586	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	91	5	37	18	"{21,31,41}"	3	20.91385166			reef-associated		FB or SLB Comments: Found over soft bottoms (Ref. 9626) of coastal waters. Secretive but approachable (Ref. 9710). Has been reared in captivity (Ref. 35408).
600980	Paralichthys albigutta	Gulf flounder	6	61	514	665	980	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	130	19	37	20	"{21,31}"	2	58.149			demersal		"FB or SLB Comments: Occurs in bays, lagoons and shallow coastal waters (Ref. 7251). Inhabits mainly hard and sandy bottoms (Ref. 3275)."
